carat,cut,color,clarity,depth,table,price,x,y,z
0.34,Ideal,D,I1,62.5,57.0,530,4.49,4.47,2.8
0.7,Very Good,D,VS2,60.7,58.0,3092,5.7,5.73,3.47
0.55,Premium,I,VVS1,61.3,59.0,1712,5.3,5.27,3.24
1.01,Premium,E,I1,59.8,58.0,3394,6.57,6.53,3.92
0.51,Very Good,H,VS1,63.4,57.0,1437,5.09,5.06,3.22
1.04,Ideal,D,IF,61.8,57.0,14494,6.49,6.52,4.02
1.5,Premium,G,SI2,61.7,55.0,5460,7.39,7.32,4.54
2.0,Fair,H,I1,69.8,54.0,5914,7.6,7.56,5.29
0.91,Fair,H,SI1,64.8,57.0,3180,6.12,6.07,3.95
0.52,Very Good,E,SI2,62.9,56.0,1120,5.12,5.15,3.23
0.46,Premium,D,VS2,60.9,58.0,1388,4.97,4.94,3.02
1.07,Very Good,J,VVS2,60.0,60.0,5661,6.57,6.59,3.95
1.54,Very Good,I,VS2,62.2,58.0,8656,7.32,7.37,4.57
0.36,Premium,E,VS1,60.4,58.0,1094,4.67,4.64,2.81
1.11,Ideal,E,SI1,61.4,58.0,6291,6.66,6.62,4.08
1.0,Ideal,I,VS2,62.4,52.0,4841,6.41,6.45,4.02
0.81,Very Good,I,VS1,62.7,58.0,2950,5.9,5.96,3.72
1.6,Very Good,I,VS2,60.0,60.0,10497,7.55,7.59,4.54
0.32,Very Good,F,SI2,62.6,56.0,421,4.37,4.41,2.75
0.41,Very Good,E,SI1,62.9,57.0,755,4.73,4.78,2.99
1.18,Premium,G,VVS2,58.2,62.0,9188,6.92,6.89,4.02
0.42,Ideal,G,VS1,62.0,55.0,921,4.78,4.83,2.98
0.59,Very Good,E,VS2,59.9,56.0,1838,5.46,5.49,3.28
0.35,Very Good,E,VS2,62.1,59.0,767,4.46,4.49,2.78
0.42,Very Good,D,SI1,63.0,59.0,735,4.77,4.79,3.01
0.31,Ideal,G,VVS2,61.8,54.0,687,4.36,4.38,2.7
1.55,Premium,F,VS1,61.6,56.0,15801,7.45,7.38,4.57
0.91,Ideal,F,SI2,60.3,57.0,3763,6.26,6.34,3.8
1.02,Very Good,H,VS1,62.8,59.0,5598,6.34,6.47,4.02
0.71,Ideal,H,SI2,62.6,56.0,1800,5.75,5.69,3.58
1.2,Premium,H,VS2,62.8,59.0,6666,6.75,6.7,4.22
0.31,Ideal,H,VVS2,62.5,55.0,802,4.37,4.34,2.72
1.62,Ideal,F,SI1,62.7,56.0,12828,7.5,7.44,4.68
0.61,Premium,H,VS1,59.6,61.0,1793,5.53,5.44,3.27
1.04,Ideal,F,VS1,61.4,57.0,7015,6.51,6.56,4.01
1.11,Premium,H,SI2,61.5,59.0,4212,6.61,6.56,4.05
1.01,Very Good,E,VS2,62.9,57.0,6488,6.37,6.43,4.02
1.01,Premium,F,SI2,60.0,60.0,3717,6.46,6.4,3.86
0.32,Ideal,G,VS2,61.6,57.0,561,4.39,4.41,2.71
0.83,Ideal,G,SI1,62.3,57.0,2800,5.99,6.08,3.76
0.61,Ideal,D,SI1,61.4,56.0,1904,5.46,5.48,3.36
0.5,Very Good,D,VS2,63.4,56.0,1758,5.1,5.05,3.22
1.61,Ideal,G,SI1,61.2,55.0,11192,7.57,7.62,4.65
0.3,Very Good,G,VVS2,63.5,56.0,878,4.34,4.29,2.74
1.09,Ideal,G,VVS1,62.1,55.0,8778,6.58,6.63,4.1
0.4,Very Good,G,VS1,61.8,58.0,822,4.69,4.72,2.91
1.08,Very Good,G,VS2,62.3,58.0,6415,6.5,6.54,4.06
0.7,Premium,F,SI1,62.1,59.0,2196,5.68,5.72,3.54
1.12,Premium,G,IF,61.2,58.0,9440,6.67,6.7,4.09
0.32,Ideal,F,VVS2,62.1,56.0,741,4.4,4.46,2.75
0.34,Ideal,F,VVS1,61.4,55.0,919,4.52,4.54,2.78
0.35,Premium,D,SI1,60.1,61.0,827,4.59,4.56,2.75
0.37,Good,G,SI2,63.3,55.0,487,4.58,4.61,2.91
1.58,Premium,D,SI2,59.6,59.0,10934,7.67,7.61,4.55
1.01,Very Good,F,VS2,61.5,57.0,6159,6.4,6.48,3.96
0.3,Premium,G,VVS2,61.6,60.0,878,4.27,4.24,2.62
1.07,Very Good,F,IF,59.4,59.0,11019,6.64,6.7,3.96
0.31,Premium,E,VS2,61.6,59.0,872,4.35,4.32,2.67
2.01,Ideal,H,SI1,62.1,55.0,18295,8.12,8.07,5.03
1.02,Premium,D,SI2,60.0,62.0,4381,6.59,6.5,3.93
1.02,Ideal,F,VS2,62.9,57.0,6509,6.42,6.33,4.01
0.41,Premium,H,SI1,62.0,59.0,876,4.8,4.78,2.97
0.7,Ideal,F,VS1,61.5,55.0,3319,5.73,5.75,3.53
0.43,Very Good,H,SI1,61.5,58.0,716,4.8,4.86,2.97
0.33,Ideal,G,VS1,62.4,56.0,666,4.43,4.45,2.77
2.01,Premium,I,VS2,62.6,59.0,16778,8.04,8.01,5.02
0.58,Premium,F,SI2,63.0,56.0,1226,5.34,5.26,3.34
1.0,Ideal,G,VVS2,62.6,55.0,7403,6.37,6.4,4.0
0.56,Ideal,I,VVS1,60.8,57.0,1605,5.31,5.34,3.24
0.42,Premium,G,VVS1,59.8,58.0,1179,4.85,4.88,2.91
1.01,Premium,G,VVS2,61.9,59.0,7964,6.45,6.41,3.98
0.5,Ideal,E,VS2,62.0,56.0,1676,5.1,5.06,3.15
0.56,Very Good,F,VS1,62.0,59.0,1712,5.3,5.34,3.3
0.55,Ideal,I,VVS1,62.7,57.0,1593,5.17,5.23,3.26
1.0,Premium,G,SI1,60.0,60.0,3568,6.47,6.42,3.87
0.9,Good,G,SI2,63.8,59.0,3303,6.02,6.05,3.85
1.09,Very Good,I,VS2,62.0,56.0,4959,6.57,6.59,4.08
1.5,Good,H,SI1,60.8,60.0,9336,7.28,7.38,4.46
1.1,Very Good,D,VVS2,61.7,56.0,11132,6.64,6.65,4.1
1.06,Premium,F,VS2,61.8,60.0,6673,6.58,6.53,4.05
2.02,Very Good,H,SI2,62.3,58.0,15064,7.97,8.04,4.99
1.02,Ideal,G,I1,61.2,56.0,3459,6.47,6.5,3.97
0.3,Very Good,G,SI2,63.3,57.0,506,4.28,4.25,2.7
1.12,Very Good,I,VS1,59.6,58.0,5036,6.82,6.77,4.05
1.51,Very Good,I,VS1,63.1,53.0,9513,7.34,7.25,4.6
1.14,Premium,H,SI2,62.2,61.0,3830,6.72,6.64,4.16
0.31,Very Good,G,SI2,63.3,54.0,523,4.34,4.29,2.73
0.3,Good,E,VVS1,61.5,62.0,702,4.28,4.34,2.65
2.42,Premium,I,VS1,59.8,59.0,17262,8.8,8.78,5.26
0.72,Very Good,H,SI2,61.0,56.0,1953,5.75,5.8,3.52
0.32,Very Good,F,VS2,63.0,57.0,602,4.33,4.37,2.74
0.33,Premium,I,VVS2,61.4,58.0,743,4.48,4.45,2.74
0.8,Ideal,G,VVS2,61.5,55.0,4740,5.95,5.99,3.68
0.41,Ideal,D,VS2,61.7,56.0,1076,4.81,4.78,2.96
1.11,Premium,H,VS2,61.7,58.0,5450,6.64,6.69,4.11
0.5,Very Good,E,VS2,63.6,59.0,1446,4.99,5.04,3.19
0.4,Premium,F,VVS2,62.2,59.0,1163,4.7,4.65,2.91
0.25,Very Good,G,VVS1,61.8,56.0,525,4.03,4.06,2.5
1.12,Premium,G,SI2,61.2,58.0,4158,6.69,6.67,4.09
0.7,Fair,G,SI1,64.8,59.0,2016,5.65,5.56,3.63
0.33,Ideal,G,VVS1,60.4,58.0,802,4.5,4.51,2.72
0.3,Premium,G,SI2,58.1,61.0,506,4.47,4.41,2.58
2.04,Premium,E,SI2,58.3,58.0,17379,8.35,8.31,4.86
2.05,Premium,G,SI1,61.6,59.0,15291,8.2,8.16,5.04
0.4,Ideal,E,VVS1,61.7,57.0,1333,4.7,4.74,2.91
0.32,Ideal,F,VS2,62.5,56.0,828,4.38,4.36,2.73
0.34,Ideal,F,VS1,62.1,57.0,956,4.53,4.49,2.8
0.33,Premium,F,SI1,60.9,59.0,705,4.45,4.42,2.7
0.3,Premium,D,SI1,62.2,58.0,552,4.28,4.31,2.67
0.51,Premium,E,VS2,61.6,58.0,1567,5.18,5.15,3.18
1.0,Good,F,VS2,63.2,59.0,6183,6.3,6.35,4.0
1.56,Very Good,H,VVS2,63.3,58.0,12098,7.3,7.35,4.64
1.75,Ideal,J,SI1,63.3,59.0,-1,7.63,7.57,4.81
0.71,Very Good,F,SI1,64.0,58.0,2345,5.59,5.66,3.6
0.8,Very Good,H,VS2,59.1,59.0,2953,6.02,6.07,3.57
0.5,Very Good,I,SI1,62.8,60.0,1054,5.04,5.08,3.18
1.59,Very Good,G,SI1,59.5,61.0,10963,7.57,7.65,4.53
1.24,Very Good,E,VS1,59.9,61.0,10202,6.96,6.99,4.18
0.83,Premium,J,SI1,59.3,59.0,2022,6.17,6.1,3.64
0.71,Good,D,VS2,63.6,54.0,4289,5.7,5.75,3.64
0.56,Ideal,D,SI1,60.5,57.0,1814,5.36,5.31,3.23
1.21,Premium,I,SI2,59.9,58.0,4879,6.94,6.91,4.15
0.43,Ideal,E,VS2,61.6,54.0,1053,4.9,4.88,3.01
0.53,Ideal,G,VS1,61.5,57.0,1615,5.26,5.21,3.22
0.32,Ideal,G,VS1,62.9,57.0,828,4.4,4.37,2.76
1.0,Premium,E,SI2,60.4,62.0,4014,6.52,6.42,3.91
0.43,Very Good,F,VS2,61.3,59.0,905,4.81,4.84,2.96
0.33,Ideal,H,SI1,61.7,55.0,564,4.43,4.46,2.74
0.78,Premium,G,VS2,60.8,58.0,2803,6.03,5.95,3.64
2.0,Ideal,F,SI2,62.6,57.0,18172,8.08,8.01,5.04
0.32,Ideal,D,VS2,62.0,55.0,972,4.42,4.38,2.73
2.01,Ideal,G,SI1,59.2,57.0,17492,8.23,8.19,4.86
0.26,Very Good,E,VS2,59.2,58.0,453,4.18,4.2,2.48
1.02,Very Good,E,VS2,62.9,56.0,6752,6.37,6.47,4.04
1.01,Very Good,G,VS2,59.1,58.0,5919,6.56,6.63,3.9
1.38,Ideal,F,VVS1,62.9,56.0,15968,7.04,7.1,4.45
0.44,Ideal,E,VVS1,61.4,55.0,1868,4.92,4.95,3.03
1.01,Very Good,F,SI2,63.3,57.0,4299,6.39,6.37,4.04
1.25,Very Good,H,VS2,62.1,56.0,7305,6.91,6.96,4.31
0.42,Premium,G,VS2,61.9,58.0,1087,4.82,4.77,2.97
0.7,Premium,D,IF,60.0,59.0,5027,5.75,5.81,3.47
1.02,Premium,F,VS2,62.7,59.0,6333,6.44,6.41,4.03
2.01,Ideal,I,SI1,62.2,56.0,15116,8.12,8.06,5.03
0.33,Very Good,E,SI1,63.4,55.0,743,4.4,4.37,2.78
1.14,Ideal,J,VS1,61.5,57.0,5392,6.7,6.73,4.13
0.51,Good,E,SI1,63.6,59.0,1241,5.13,5.06,3.24
1.75,Good,D,SI1,63.8,57.0,12918,7.63,7.53,4.84
0.41,Ideal,E,VVS2,62.8,54.0,1243,4.77,4.72,2.98
0.32,Ideal,H,VVS1,61.3,56.0,708,4.41,4.43,2.71
0.41,Ideal,D,SI1,62.7,56.0,791,4.73,4.78,2.98
1.68,Premium,I,SI1,61.5,59.0,10151,7.63,7.58,4.68
1.52,Premium,F,VS2,61.4,58.0,15792,7.42,7.37,4.54
1.01,Premium,G,VVS2,61.2,58.0,8016,6.45,6.49,3.96
0.51,Ideal,D,VS2,61.6,56.0,1787,5.15,5.17,3.18
0.23,Very Good,D,VVS2,63.5,58.0,485,3.86,3.89,2.46
0.4,Ideal,J,VS1,60.4,56.0,641,4.77,4.8,2.89
0.35,Ideal,E,IF,61.4,56.0,1197,4.53,4.56,2.79
1.6,Very Good,H,SI1,63.1,58.0,10078,7.45,7.39,4.68
1.14,Premium,F,SI1,61.1,59.0,6033,6.75,6.7,4.11
0.91,Premium,E,SI1,62.6,58.0,4138,6.17,6.14,3.85
1.0,Premium,D,VS1,62.2,55.0,8333,6.46,6.4,4.0
0.54,Ideal,D,VS2,61.8,56.0,1892,5.21,5.24,3.23
0.34,Ideal,E,SI1,61.0,55.0,637,4.54,4.56,2.77
0.9,Ideal,H,SI1,62.8,57.0,3629,6.16,6.14,3.86
1.53,Very Good,J,SI1,61.7,58.0,7730,7.43,7.47,4.6
0.31,Ideal,H,VS1,61.6,54.8,557,4.35,4.37,2.69
0.7,Good,I,SI1,58.5,61.0,2276,5.76,5.82,3.39
0.77,Ideal,F,SI2,61.3,56.0,2729,5.89,5.92,3.62
0.52,Fair,E,VVS2,57.2,64.0,2079,5.27,5.36,3.04
0.25,Very Good,E,VVS2,63.0,55.0,575,4.0,4.03,2.53
0.42,Premium,G,VS2,62.0,58.0,1087,4.81,4.77,2.97
0.36,Premium,F,VS1,60.7,58.0,789,4.57,4.62,2.79
0.31,Ideal,H,SI1,61.9,56.0,595,4.38,4.35,2.7
0.26,Ideal,E,VVS2,62.3,57.0,599,4.06,4.09,2.54
0.31,Very Good,G,VVS1,59.8,62.0,761,4.35,4.41,2.62
2.16,Premium,I,SI1,58.5,60.0,17934,8.54,8.49,4.98
0.54,Ideal,I,SI2,61.8,54.0,964,5.24,5.27,3.25
0.32,Very Good,G,VS2,62.4,59.0,561,4.33,4.36,2.71
1.02,Ideal,H,SI2,60.5,60.0,4225,6.56,6.53,3.96
1.54,Ideal,I,VS2,60.7,56.0,7848,7.51,7.46,4.54
0.31,Very Good,G,VS1,62.0,59.0,625,4.28,4.3,2.66
0.3,Premium,D,SI2,61.8,58.0,574,4.32,4.29,2.66
0.38,Very Good,E,VS2,60.3,58.0,866,4.67,4.72,2.83
0.42,Ideal,D,VVS2,61.7,55.0,1185,4.79,4.83,2.97
0.43,Very Good,D,SI1,61.0,57.0,774,4.85,4.88,2.97
0.33,Very Good,H,SI1,63.0,57.0,475,4.39,4.41,2.77
0.7,Ideal,G,IF,61.3,56.0,3949,5.72,5.73,3.51
0.73,Ideal,H,VS2,61.0,56.0,3164,5.83,5.88,3.57
0.52,Ideal,I,VVS1,60.1,56.0,1454,5.24,5.27,3.16
0.43,Ideal,I,VS1,61.8,55.0,1218,4.88,4.9,3.02
1.51,Ideal,J,SI1,61.4,57.0,8049,7.38,7.43,4.55
0.33,Premium,F,SI2,62.3,58.0,434,4.4,4.43,2.75
1.33,Premium,E,SI2,62.5,58.0,7090,7.03,6.99,4.38
0.39,Ideal,F,VVS2,62.1,55.0,988,4.7,4.74,2.93
0.32,Ideal,F,IF,60.9,57.0,929,4.4,4.44,2.69
0.33,Ideal,F,VS2,62.1,55.0,854,4.47,4.45,2.77
0.58,Good,D,SI2,56.7,60.0,1563,5.59,5.53,3.15
1.14,Premium,F,SI2,60.8,58.0,5008,6.79,6.74,4.11
0.58,Ideal,H,IF,61.6,57.0,2211,5.34,5.37,3.3
0.7,Good,D,VVS2,63.6,57.0,3312,5.61,5.58,3.56
0.23,Very Good,D,VS2,60.5,61.0,357,3.96,3.97,2.4
0.4,Very Good,I,SI1,63.2,54.0,765,4.69,4.67,2.96
0.58,Ideal,I,VVS1,62.1,56.0,1680,5.32,5.34,3.31
1.01,Very Good,E,VS2,62.2,58.0,6522,6.36,6.41,3.97
0.32,Good,D,SI2,63.4,56.0,477,4.36,4.38,2.77
1.2,Premium,H,SI2,62.3,58.0,5376,6.81,6.76,4.23
0.7,Ideal,F,VS2,61.0,55.0,3468,5.74,5.79,3.52
1.0,Premium,D,SI1,61.3,61.0,5880,6.52,6.39,3.96
1.31,Ideal,F,SI1,61.6,55.0,9331,7.04,7.09,4.35
0.71,Premium,E,SI1,59.2,59.0,2817,5.86,5.83,3.46
0.73,Good,H,VS1,64.1,58.8,2673,5.63,5.67,3.62
1.06,Very Good,F,SI2,60.0,59.0,4224,6.6,6.63,3.97
1.7,Very Good,I,SI1,63.1,57.0,10341,7.51,7.46,4.72
0.53,Good,E,SI1,57.8,57.0,1328,5.33,5.29,3.07
0.35,Ideal,G,IF,61.3,55.0,1001,4.57,4.6,2.81
1.04,Ideal,F,SI1,61.3,56.0,5495,6.51,6.55,4.0
0.34,Ideal,D,VVS1,61.7,57.0,1133,4.49,4.52,2.78
1.01,Premium,D,SI1,60.0,60.0,5543,6.51,6.45,3.89
0.7,Premium,G,SI1,61.5,58.0,2010,5.69,5.76,3.52
0.4,Very Good,F,IF,62.9,55.0,1261,4.68,4.7,2.95
0.3,Ideal,F,IF,61.3,56.0,873,4.3,4.34,2.65
0.33,Premium,G,VS2,61.9,59.0,743,4.46,4.4,2.74
0.9,Premium,F,SI2,61.4,62.0,3704,6.2,6.11,3.78
1.12,Good,E,SI1,64.3,57.0,5630,6.56,6.5,4.2
0.8,Premium,E,VS2,63.0,56.0,3494,5.91,5.84,3.7
0.42,Premium,E,VS2,61.0,60.0,1024,4.85,4.82,2.95
0.37,Premium,E,VS2,59.5,59.0,1041,4.71,4.64,2.78
0.32,Ideal,G,VS1,62.3,55.0,828,4.4,4.37,2.73
2.04,Premium,I,SI1,58.8,60.0,14775,8.42,8.32,4.92
0.5,Good,F,VS2,60.9,60.4,1565,5.13,5.2,3.14
0.32,Premium,H,VS2,59.5,58.0,648,4.5,4.47,2.67
0.6,Fair,G,SI1,64.5,56.0,1305,5.27,5.24,3.39
1.5,Ideal,G,SI1,62.0,56.0,11079,7.29,7.33,4.53
1.01,Good,D,SI2,63.6,57.0,4719,6.35,6.39,4.05
0.7,Premium,H,VS1,62.3,60.0,2333,5.65,5.61,3.51
0.36,Ideal,D,VS2,61.1,57.0,928,4.6,4.63,2.82
1.5,Good,I,VS1,57.2,62.0,9702,7.64,7.61,4.36
0.91,Good,H,VS1,57.8,61.0,4566,6.4,6.36,3.69
1.61,Premium,H,SI1,62.5,58.0,10942,7.51,7.46,4.68
1.06,Ideal,D,VS1,61.7,55.0,8893,6.53,6.57,4.04
1.72,Premium,H,SI1,62.0,57.0,9266,7.67,7.63,4.74
0.36,Very Good,H,VVS1,62.0,55.0,753,4.57,4.6,2.84
0.52,Ideal,E,VS2,59.5,57.0,1689,5.25,5.27,3.13
1.03,Premium,F,SI1,60.9,60.0,4579,6.52,6.45,3.95
0.54,Ideal,D,VS2,61.9,55.0,1817,5.23,5.24,3.24
1.54,Premium,G,VS2,61.6,59.0,12308,7.46,7.4,4.58
0.42,Ideal,E,VS1,61.6,57.0,1105,4.8,4.84,2.97
0.94,Premium,F,SI2,62.4,58.0,3456,6.23,6.17,3.87
0.55,Ideal,G,VVS2,62.5,56.0,2129,5.25,5.22,3.27
0.75,Premium,H,VS2,60.8,57.0,2484,5.9,5.87,3.58
1.21,Ideal,G,VS2,61.8,57.0,8001,6.83,6.79,4.21
1.01,Ideal,G,VS1,61.5,56.0,6794,6.48,6.43,3.97
0.9,Ideal,G,VS1,61.6,55.0,4460,6.27,6.23,3.85
1.07,Ideal,F,VS1,62.1,55.0,7850,6.58,6.56,4.08
1.53,Very Good,H,SI1,63.4,55.0,10473,7.3,7.34,4.64
0.38,Ideal,G,SI1,61.3,56.0,855,4.67,4.63,2.85
0.99,Ideal,F,SI1,62.8,57.0,5728,6.3,6.38,3.98
1.5,Very Good,E,VS1,59.0,62.0,15957,7.45,7.47,4.4
0.7,Ideal,D,SI1,62.5,55.0,2726,5.68,5.72,3.56
0.42,Ideal,G,VVS2,62.2,56.0,1103,4.81,4.77,2.98
1.07,Ideal,H,SI2,59.2,57.0,4314,6.7,6.64,3.95
1.01,Ideal,E,VVS1,62.2,57.0,10887,6.38,6.44,3.99
1.01,Premium,E,VS2,60.4,57.0,6697,6.49,6.45,3.91
0.76,Very Good,F,SI1,62.9,57.0,2770,5.79,5.81,3.65
1.06,Ideal,F,VVS2,62.1,57.0,9118,6.54,6.5,4.05
0.55,Ideal,D,VVS2,61.5,56.0,3468,5.26,5.28,3.24
0.39,Ideal,D,VS1,62.0,57.0,1095,4.67,4.71,2.91
0.31,Ideal,E,VS2,61.4,54.0,872,4.4,4.33,2.68
0.33,Very Good,D,VVS1,62.1,58.0,920,4.39,4.46,2.75
1.0,Ideal,F,VVS2,61.9,57.0,9354,6.47,6.42,3.99
0.5,Very Good,F,SI1,62.7,59.0,1250,5.04,5.07,3.17
0.32,Ideal,E,SI1,62.2,54.0,516,4.38,4.4,2.73
1.0,Premium,E,SI2,62.0,59.0,4077,6.43,6.3,3.95
0.55,Ideal,F,VS2,61.1,56.0,1819,5.31,5.27,3.23
0.7,Good,E,SI1,63.2,57.0,2496,5.61,5.63,3.55
0.7,Ideal,D,SI2,60.6,56.6,2575,5.75,5.77,3.49
0.64,Very Good,G,SI1,64.0,53.8,1665,5.49,5.53,3.53
1.83,Ideal,E,SI2,62.8,56.0,13254,7.82,7.76,4.89
0.23,Ideal,E,VS2,62.6,57.0,423,3.88,3.92,2.44
0.35,Very Good,E,VS1,59.9,59.9,885,4.54,4.59,2.73
0.82,Ideal,E,SI2,62.2,57.0,3012,6.0,5.97,3.72
0.55,Premium,D,SI1,61.6,56.0,1698,5.28,5.24,3.24
0.5,Fair,H,VS2,56.3,65.0,1332,5.24,5.21,2.94
1.06,Ideal,G,SI1,62.0,57.0,5342,6.54,6.5,4.04
0.31,Ideal,D,VS2,61.0,54.0,656,4.38,4.44,2.69
1.01,Premium,H,SI2,60.8,59.0,3733,6.51,6.46,3.94
0.7,Premium,F,VVS1,61.8,60.0,3348,5.67,5.63,3.49
0.3,Premium,G,VS1,62.5,55.0,776,4.32,4.25,2.68
1.24,Ideal,J,VS2,62.8,56.0,5451,6.83,6.8,4.28
0.32,Ideal,D,VVS1,61.8,56.0,1140,4.41,4.39,2.72
0.33,Premium,G,VS1,61.3,58.0,666,4.42,4.45,2.72
1.01,Good,E,SI2,61.4,64.0,4285,6.29,6.42,3.9
1.6,Premium,G,VVS1,61.5,58.0,17360,7.58,7.48,4.63
0.32,Very Good,G,VS1,61.8,60.0,645,4.35,4.36,2.69
0.51,Ideal,E,VVS1,61.3,56.0,3197,5.13,5.21,3.17
0.71,Ideal,E,SI1,61.5,57.0,2329,5.78,5.74,3.54
1.52,Premium,G,VS2,61.9,56.0,13282,7.39,7.28,4.54
1.4,Very Good,G,VS2,62.2,61.0,10378,7.09,7.13,4.42
0.3,Premium,G,VS1,61.3,58.0,776,4.33,4.29,2.64
1.0,Premium,D,VS2,60.8,61.0,6776,6.41,6.39,3.89
0.5,Ideal,D,SI1,62.1,57.0,1610,5.08,5.03,3.14
0.32,Ideal,E,VS2,61.7,56.0,702,4.41,4.44,2.73
1.0,Very Good,F,VS1,60.4,59.0,7204,6.4,6.51,3.9
0.71,Premium,G,VS2,59.9,60.0,2803,5.81,5.77,3.47
0.9,Very Good,H,VS1,63.2,59.0,4324,6.08,6.11,3.85
1.07,Very Good,H,VS2,61.5,57.0,5254,6.57,6.63,4.06
0.9,Very Good,E,VS1,63.0,55.0,4449,6.08,6.15,3.85
1.05,Premium,F,SI2,61.7,60.0,4363,6.58,6.49,4.03
1.04,Premium,H,SI1,62.6,59.0,4980,6.47,6.43,4.04
0.3,Ideal,F,VS2,62.1,53.6,601,4.28,4.31,2.67
1.05,Ideal,H,SI2,60.6,57.0,3234,6.59,6.55,3.98
0.82,Ideal,D,SI1,61.9,56.0,4113,5.99,6.02,3.72
0.4,Premium,G,SI1,62.0,59.0,900,4.74,4.71,2.93
0.27,Very Good,D,VS1,63.2,55.0,470,4.1,4.16,2.61
1.0,Premium,H,SI1,62.7,59.0,4788,6.37,6.3,3.97
2.1,Good,H,SI1,63.7,61.0,12121,8.1,8.07,5.15
0.39,Ideal,G,VVS2,61.7,54.2,952,4.69,4.75,2.91
1.26,Ideal,H,VS1,61.4,56.0,7691,7.01,6.97,4.29
0.4,Ideal,F,VVS2,61.5,59.0,1015,4.75,4.81,2.94
0.8,Very Good,J,VS1,62.7,58.0,2487,5.91,5.95,3.72
1.18,Premium,J,SI1,62.5,55.0,4460,6.82,6.74,4.24
0.49,Premium,F,SI1,58.7,60.0,1179,5.2,5.15,3.04
1.01,Very Good,G,VS2,61.6,60.0,6406,6.42,6.47,3.97
1.03,Very Good,G,SI2,63.0,60.0,3755,6.35,6.39,4.01
0.35,Very Good,D,VS1,63.0,57.0,771,4.48,4.51,2.83
0.32,Very Good,G,IF,61.8,55.0,954,4.39,4.45,2.73
0.78,Very Good,E,VS1,61.0,55.0,3564,5.94,5.96,3.63
1.02,Ideal,H,SI1,61.2,56.0,5257,6.49,6.51,3.98
0.51,Very Good,G,VS1,62.7,56.0,1656,5.08,5.13,3.2
0.42,Premium,F,SI1,60.8,58.0,773,4.83,4.87,2.95
0.58,Ideal,G,VS2,60.0,56.0,1761,5.45,5.48,3.28
0.72,Ideal,G,SI2,61.9,57.0,2068,5.73,5.77,3.56
1.29,Fair,G,I1,66.0,58.0,4277,6.82,6.75,4.48
0.9,Ideal,H,VS2,62.4,56.0,4044,6.15,6.18,3.85
1.6,Premium,G,VVS2,60.6,60.0,16068,7.51,7.57,4.57
0.37,Good,D,VS1,62.1,54.0,825,4.67,4.73,2.92
0.31,Very Good,H,VVS1,61.9,57.0,651,4.33,4.36,2.69
0.53,Ideal,H,VVS1,61.2,56.0,1842,5.25,5.27,3.22
0.77,Ideal,G,VS1,62.4,54.0,3176,5.89,5.93,3.69
1.04,Ideal,G,VS1,61.7,56.0,7951,6.47,6.52,4.01
1.05,Premium,G,SI2,63.0,57.0,4618,6.47,6.41,4.06
0.33,Ideal,E,VVS1,61.6,56.0,1207,4.44,4.46,2.74
1.5,Ideal,E,SI1,62.0,55.0,11489,7.4,7.32,4.56
1.01,Very Good,E,SI2,59.4,59.0,3857,6.49,6.51,3.86
0.32,Premium,I,VS1,61.0,60.0,648,4.47,4.42,2.71
1.02,Ideal,E,SI1,62.2,54.7,5840,6.44,6.47,4.01
0.57,Ideal,H,VS1,61.3,55.1,1720,5.34,5.42,3.29
0.35,Ideal,J,IF,61.8,53.0,569,4.58,4.61,2.84
0.74,Ideal,J,VVS2,61.7,55.0,2106,5.83,5.87,3.61
0.32,Ideal,E,VS1,61.9,56.0,758,4.38,4.41,2.72
0.42,Premium,D,SI2,60.1,58.0,898,4.88,4.83,2.92
0.57,Good,G,VS2,64.1,55.0,1613,5.28,5.27,3.38
0.45,Good,F,VS1,58.6,62.2,1144,5.0,5.05,2.95
1.0,Premium,I,SI1,60.5,59.0,4200,6.54,6.49,3.94
0.71,Good,F,SI2,64.5,55.6,2282,5.58,5.61,3.6
0.34,Ideal,D,VVS1,61.5,56.0,1211,4.5,4.47,2.76
0.27,Ideal,H,SI1,61.6,57.0,393,4.13,4.15,2.55
1.04,Very Good,G,VS1,63.1,57.0,6669,6.39,6.44,4.05
0.55,Ideal,G,VS1,62.2,54.0,2132,5.27,5.24,3.27
0.41,Ideal,G,VVS1,61.6,57.0,1055,4.75,4.77,2.93
1.2,Premium,E,VVS2,62.3,59.0,12787,6.83,6.79,4.24
1.19,Very Good,J,SI2,63.4,56.8,4329,6.7,6.79,4.27
0.31,Ideal,G,IF,62.7,57.0,924,4.31,4.34,2.71
0.3,Ideal,E,VS2,61.0,56.0,844,4.36,4.33,2.65
1.03,Ideal,I,SI2,62.2,57.0,3925,6.46,6.5,4.03
0.51,Premium,G,VS2,62.4,58.0,1438,5.11,5.12,3.19
1.0,Premium,E,SI1,59.7,57.0,5322,6.56,6.48,3.89
0.32,Ideal,G,VS1,61.6,55.0,665,4.43,4.46,2.74
1.08,Good,E,SI1,58.4,60.0,5575,6.71,6.74,3.93
0.31,Ideal,D,VS2,62.1,54.0,626,4.36,4.4,2.72
1.2,Ideal,G,VS1,62.3,56.0,8442,6.77,6.82,4.23
0.41,Good,I,VS1,60.1,60.1,754,4.79,4.82,2.89
0.54,Very Good,E,VS2,62.6,60.0,1426,5.26,5.19,3.27
